Air China,"CA 908, CA 1817",Madrid,13:10,Nanking/Nanjing,"10:25
+ 1 DAY",15 h 15 m,"64,737",16/10/2023
"Qatar Airways, Air China","QR 148, QR 892",Madrid,09:05,Nanking/Nanjing,"22:05
+ 1 DAY",31 h,"67,277",16/10/2023
"Qatar Airways, Air China","QR 150, QR 892",Madrid,16:05,Nanking/Nanjing,"22:05
+ 1 DAY",24 h,"76,383",16/10/2023
Air China,"CA 908, CA 1847",Madrid,13:10,Nanking/Nanjing,"12:55
+ 1 DAY",17 h 45 m,"77,468",16/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"19:30
+ 1 DAY",24 h 30 m,"1,02,816",16/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"22:05
+ 1 DAY",27 h 05 m,"1,02,816",16/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"22:20
+ 1 DAY",27 h 20 m,"1,02,816",16/10/2023
"Lufthansa, Cathay Pacific","LH 1121, CX 288",Madrid,06:10,Nanking/Nanjing,"13:00
+ 1 DAY",24 h 50 m,"1,11,917",16/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"1,17,288",16/10/2023
"Xiamen Airlines, Hebei Airlines Co.Ltd","MF 9557, MF 812",Madrid,15:00,Nanking/Nanjing,"20:35
+ 1 DAY",23 h 35 m,"1,23,220",16/10/2023
"Lufthansa, Air China","LH 1123, LH 720",Madrid,08:30,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 25 m,"1,23,305",16/10/2023
"Lufthansa, Air China","LH 1121, LH 720",Madrid,06:10,Nanking/Nanjing,"12:55
+ 1 DAY",24 h 45 m,"1,23,305",16/10/2023
"Lufthansa, Air China","LH 1121, CA 966",Madrid,06:10,Nanking/Nanjing,"10:25
+ 1 DAY",22 h 15 m,"1,23,744",16/10/2023
"Lufthansa, Air China","LH 1121, CA 966",Madrid,06:10,Nanking/Nanjing,"12:55
+ 1 DAY",24 h 45 m,"1,23,744",16/10/2023
"Lufthansa, Cathay Pacific","LH 1123, CX 288",Madrid,08:30,Nanking/Nanjing,"13:00
+ 1 DAY",22 h 30 m,"1,25,429",16/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"10:20
+ 2 DAY",32 h 05 m,"1,28,223",16/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"11:30
+ 2 DAY",33 h 15 m,"1,28,223",16/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"16:35
+ 2 DAY",38 h 20 m,"1,28,223",16/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"17:30
+ 2 DAY",39 h 15 m,"1,28,223",16/10/2023
Air China,"CA 6026, CA 966",Madrid,08:30,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 55 m,"1,31,910",16/10/2023
"ITA Airways, Asiana Airlines","AZ 61, OZ 562",Madrid,11:45,Nanking/Nanjing,"13:40
+ 2 DAY",43 h 55 m,"1,34,236",16/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"16:10
+ 1 DAY",18 h 45 m,"1,55,247",16/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"19:30
+ 1 DAY",22 h 05 m,"1,55,247",16/10/2023
"Lufthansa, Air China","LH 1801, LH 722",Madrid,11:55,Nanking/Nanjing,"16:10
+ 1 DAY",22 h 15 m,"1,55,247",16/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"22:05
+ 1 DAY",24 h 40 m,"1,55,247",16/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"22:20
+ 1 DAY",24 h 55 m,"1,55,247",16/10/2023
"Lufthansa, Air China","LH 1123, CA 966",Madrid,08:30,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 55 m,"1,56,817",16/10/2023
"Lufthansa, Air China","LH 1113, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"1,56,817",16/10/2023
"Lufthansa, Air China","LH 1123, CA 966",Madrid,08:30,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 25 m,"1,56,817",16/10/2023
"Lufthansa, Air China","LH 1113, CA 932",Madrid,13:00,Nanking/Nanjing,"19:30
+ 1 DAY",24 h 30 m,"1,56,817",16/10/2023
"Qatar Airways, Sichuan Airlines","QR 152, QR 880",Madrid,22:25,Nanking/Nanjing,"21:05
+ 2 DAY",40 h 40 m,"1,79,625",16/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"10:25
+ 1 DAY",21 h 10 m,"2,00,637",16/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"12:55
+ 1 DAY",23 h 40 m,"2,00,637",16/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"16:10
+ 1 DAY",26 h 55 m,"2,00,637",16/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"19:30
+ 1 DAY",30 h 15 m,"2,00,637",16/10/2023
Beijing Capital Airlines,"JD 362, JD 5295",Madrid,12:30,Nanking/Nanjing,"00:35
+ 2 DAY",30 h 05 m,"2,01,494",16/10/2023
"British Airways, Air China","BA 459, BA 89",Madrid,12:10,Nanking/Nanjing,"19:30
+ 1 DAY",25 h 20 m,"2,44,014",16/10/2023
"Air Europa, Hainan Airlines","UX 1043, HU 7992",Madrid,07:05,Nanking/Nanjing,"10:30
+ 1 DAY",21 h 25 m,"48,888",17/10/2023
"Qatar Airways, Air China","QR 148, QR 892",Madrid,09:05,Nanking/Nanjing,"22:05
+ 1 DAY",31 h,"67,277",17/10/2023
"ITA Airways, China Southern","AZ 59, CZ 662",Madrid,05:50,Nanking/Nanjing,"11:30
+ 1 DAY",23 h 40 m,"70,260",17/10/2023
"ITA Airways, China Southern","AZ 59, CZ 662",Madrid,05:50,Nanking/Nanjing,"16:35
+ 1 DAY",28 h 45 m,"70,260",17/10/2023
"ITA Airways, China Southern","AZ 59, CZ 662",Madrid,05:50,Nanking/Nanjing,"17:30
+ 1 DAY",29 h 40 m,"70,260",17/10/2023
"Lufthansa, Air China","LH 1805, LH 722",Madrid,18:30,Nanking/Nanjing,"16:10
+ 2 DAY",39 h 40 m,"84,258",17/10/2023
"Lufthansa, Air China","LH 1805, LH 722",Madrid,18:30,Nanking/Nanjing,"19:30
+ 2 DAY",43 h,"84,258",17/10/2023
"Qatar Airways, Air China","QR 150, QR 892",Madrid,16:05,Nanking/Nanjing,"22:05
+ 1 DAY",24 h,"96,915",17/10/2023
Air China,"CA 908, CA 1817",Madrid,13:10,Nanking/Nanjing,"10:25
+ 1 DAY",15 h 15 m,"98,819",17/10/2023
Air China,"CA 908, CA 1847",Madrid,13:10,Nanking/Nanjing,"12:55
+ 1 DAY",17 h 45 m,"99,209",17/10/2023
"Lufthansa, Air China","LH 1121, LH 720",Madrid,06:10,Nanking/Nanjing,"12:55
+ 1 DAY",24 h 45 m,"1,04,442",17/10/2023
"Lufthansa, Air China","LH 1121, LH 720",Madrid,06:10,Nanking/Nanjing,"16:10
+ 1 DAY",28 h,"1,04,953",17/10/2023
"KLM Royal Dutch, China Southern","KL 1704, CZ 308",Madrid,17:10,Nanking/Nanjing,"11:30
+ 2 DAY",36 h 20 m,"1,05,514",17/10/2023
"Lufthansa, Cathay Pacific","LH 1115, CX 288",Madrid,17:10,Nanking/Nanjing,"13:00
+ 2 DAY",37 h 50 m,"1,05,955",17/10/2023
"Lufthansa, Air China","LH 1115, LH 720",Madrid,17:10,Nanking/Nanjing,"12:55
+ 2 DAY",37 h 45 m,"1,06,250",17/10/2023
"Lufthansa, Air China","LH 1115, LH 720",Madrid,17:10,Nanking/Nanjing,"16:10
+ 2 DAY",41 h,"1,06,250",17/10/2023
"Air Europa, Hainan Airlines","UX 1173, HU 760",Madrid,15:15,Nanking/Nanjing,"21:45
+ 2 DAY",48 h 30 m,"1,10,074",17/10/2023
"Qatar Airways, Sichuan Airlines","QR 150, QR 880",Madrid,16:05,Nanking/Nanjing,"21:05
+ 1 DAY",23 h,"1,12,358",17/10/2023
"Iberia, Cathay Pacific","IB 8712, CX 288",Madrid,19:55,Nanking/Nanjing,"13:00
+ 2 DAY",35 h 05 m,"1,12,482",17/10/2023
"Iberia, Cathay Pacific","IB 3742, CX 260",Madrid,21:40,Nanking/Nanjing,"13:00
+ 2 DAY",33 h 20 m,"1,16,801",17/10/2023
"Air France, Cathay Pacific","AF 1101, CX 260",Madrid,20:15,Nanking/Nanjing,"13:00
+ 2 DAY",34 h 45 m,"1,19,710",17/10/2023
"Qatar Airways, Hong Kong Airlines","QR 148, QR 818",Madrid,09:05,Nanking/Nanjing,"22:55
+ 1 DAY",31 h 50 m,"1,27,304",17/10/2023
"KLM Royal Dutch, Xiamen Airlines, Hebei Airlines Co.Ltd","KL 1704, MF 812",Madrid,17:10,Nanking/Nanjing,"20:35
+ 2 DAY",45 h 25 m,"1,30,955",17/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"10:25
+ 1 DAY",21 h 10 m,"1,56,230",17/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"12:55
+ 1 DAY",23 h 40 m,"1,56,230",17/10/2023
"British Airways, Cathay Pacific","BA 465, CX 252",Madrid,20:45,Nanking/Nanjing,"13:00
+ 2 DAY",34 h 15 m,"1,57,996",17/10/2023
"British Airways, Cathay Pacific","BA 463, CX 252",Madrid,19:45,Nanking/Nanjing,"13:00
+ 2 DAY",35 h 15 m,"1,57,996",17/10/2023
"Emirates, China Southern","EK 142, EK 362",Madrid,15:25,Nanking/Nanjing,"10:20
+ 2 DAY",36 h 55 m,"1,85,126",17/10/2023
"Swiss, Cathay Pacific","LX 2033, CX 382",Madrid,19:45,Nanking/Nanjing,"13:00
+ 2 DAY",35 h 15 m,"2,02,184",17/10/2023
"Iberia, China Southern, Air China","IB 3166, CZ 674",Madrid,15:45,Nanking/Nanjing,"22:05
+ 1 DAY",24 h 20 m,"2,23,913",17/10/2023
"Iberia, China Southern, Air China","IB 3172, CZ 674",Madrid,14:55,Nanking/Nanjing,"22:05
+ 1 DAY",25 h 10 m,"2,23,913",17/10/2023
"British Airways, Air China","BA 459, BA 89",Madrid,12:10,Nanking/Nanjing,"19:30
+ 1 DAY",25 h 20 m,"2,44,014",17/10/2023
"British Airways, Air China","BA 457, BA 89",Madrid,10:30,Nanking/Nanjing,"19:30
+ 1 DAY",27 h,"2,44,014",17/10/2023
"KLM Royal Dutch, Hong Kong Airlines","KL 1700, KL 887",Madrid,10:20,Nanking/Nanjing,"22:55
+ 1 DAY",30 h 35 m,"3,17,705",17/10/2023
"Iberia, Air China","IB 3008, CA 846",Madrid,08:30,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 55 m,"3,55,436",17/10/2023
"Iberia, Air China","IB 3002, CA 846",Madrid,07:00,Nanking/Nanjing,"10:25
+ 1 DAY",21 h 25 m,"3,55,436",17/10/2023
"Iberia, Air China","IB 3008, CA 846",Madrid,08:30,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 25 m,"3,55,436",17/10/2023
"Iberia, Air China","IB 3190, CA 962",Madrid,08:55,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 30 m,"3,55,696",17/10/2023
"Iberia, Air China","IB 3442, CA 934",Madrid,14:35,Nanking/Nanjing,"16:10
+ 1 DAY",19 h 35 m,"3,56,502",17/10/2023
"ITA Airways, Hainan Airlines","AZ 63, HU 438",Madrid,18:05,Nanking/Nanjing,"11:50
+ 2 DAY",35 h 45 m,"55,175",18/10/2023
"ITA Airways, Hainan Airlines","AZ 61, HU 438",Madrid,11:45,Nanking/Nanjing,"11:50
+ 2 DAY",42 h 05 m,"55,175",18/10/2023
"Qatar Airways, Air China","QR 150, QR 892",Madrid,16:05,Nanking/Nanjing,"22:05
+ 1 DAY",24 h,"67,277",18/10/2023
"Lufthansa, Air China","LH 1801, LH 722",Madrid,11:55,Nanking/Nanjing,"16:10
+ 1 DAY",22 h 15 m,"69,392",18/10/2023
"Lufthansa, Air China","LH 1121, LH 720",Madrid,06:10,Nanking/Nanjing,"12:55
+ 1 DAY",24 h 45 m,"69,971",18/10/2023
Cathay Pacific,"CX 372, CX 356",Madrid,12:20,Nanking/Nanjing,"13:00
+ 1 DAY",18 h 40 m,"81,851",18/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"16:10
+ 1 DAY",18 h 45 m,"83,050",18/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"19:30
+ 1 DAY",22 h 05 m,"83,050",18/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"22:05
+ 1 DAY",24 h 40 m,"83,050",18/10/2023
"Lufthansa, Air China","LH 1803, LH 722",Madrid,15:25,Nanking/Nanjing,"22:20
+ 1 DAY",24 h 55 m,"83,050",18/10/2023
"Lufthansa, Air China","LH 1123, LH 720",Madrid,08:35,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 20 m,"83,629",18/10/2023
"KLM Royal Dutch, Xiamen Airlines, Hebei Airlines Co.Ltd","KL 1700, MF 812",Madrid,10:20,Nanking/Nanjing,"20:35
+ 1 DAY",28 h 15 m,"97,692",18/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"19:30
+ 1 DAY",24 h 30 m,"97,946",18/10/2023
"KLM Royal Dutch, Xiamen Airlines","KL 1700, MF 812",Madrid,10:20,Nanking/Nanjing,"20:35
+ 1 DAY",28 h 15 m,"99,703",18/10/2023
"Lufthansa, Air China","LH 1113, CA 932",Madrid,13:00,Nanking/Nanjing,"19:30
+ 1 DAY",24 h 30 m,"1,02,816",18/10/2023
Air China,"CA 6026, CA 966",Madrid,08:35,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 50 m,"1,05,205",18/10/2023
Air China,"CA 6026, CA 966",Madrid,08:35,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 20 m,"1,05,205",18/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"11:30
+ 2 DAY",33 h 15 m,"1,06,242",18/10/2023
Hainan Airlines,"HU 8553, HU 760",Madrid,06:20,Nanking/Nanjing,"21:45
+ 1 DAY",33 h 25 m,"1,10,734",18/10/2023
"Lufthansa, Cathay Pacific","LH 1123, CX 288",Madrid,08:35,Nanking/Nanjing,"13:00
+ 1 DAY",22 h 25 m,"1,11,917",18/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"1,12,182",18/10/2023
"Iberia, Asiana Airlines","IB 3180, OZ 522",Madrid,16:50,Nanking/Nanjing,"13:40
+ 2 DAY",38 h 50 m,"1,16,881",18/10/2023
"Qatar Airways, Cathay Pacific","QR 152, QR 816",Madrid,22:25,Nanking/Nanjing,"13:00
+ 2 DAY",32 h 35 m,"1,18,035",18/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"10:25
+ 1 DAY",21 h 10 m,"1,23,156",18/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"12:55
+ 1 DAY",23 h 40 m,"1,23,156",18/10/2023
"Lufthansa, Air China","LH 1113, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"1,23,744",18/10/2023
"KLM Royal Dutch, Xiamen Airlines, China Eastern","KL 1702, MF 812",Madrid,13:05,Nanking/Nanjing,"18:20
+ 1 DAY",23 h 15 m,"1,24,805",18/10/2023
Xiamen Airlines,"MF 9557, MF 812",Madrid,15:00,Nanking/Nanjing,"20:35
+ 1 DAY",23 h 35 m,"1,25,232",18/10/2023
"Qatar Airways, Air China","QR 148, QR 892",Madrid,09:05,Nanking/Nanjing,"22:05
+ 1 DAY",31 h,"1,25,867",18/10/2023
"Iberia, Asiana Airlines","IB 3166, OZ 522",Madrid,15:45,Nanking/Nanjing,"13:40
+ 2 DAY",39 h 55 m,"1,26,719",18/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"10:20
+ 2 DAY",32 h 05 m,"1,28,223",18/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"16:35
+ 2 DAY",38 h 20 m,"1,28,223",18/10/2023
"Air France, China Southern","AF 1101, CZ 348",Madrid,20:15,Nanking/Nanjing,"17:30
+ 2 DAY",39 h 15 m,"1,28,223",18/10/2023
"KLM Royal Dutch, Xiamen Airlines, Air China","KL 1702, MF 812",Madrid,13:05,Nanking/Nanjing,"18:00
+ 1 DAY",22 h 55 m,"1,31,064",18/10/2023
"Air France, Xiamen Airlines, Hebei Airlines Co.Ltd","AF 1101, MF 826",Madrid,20:15,Nanking/Nanjing,"20:35
+ 2 DAY",42 h 20 m,"1,34,716",18/10/2023
"Iberia, Korean Air","IB 3022, KE 916",Madrid,17:30,Nanking/Nanjing,"11:50
+ 2 DAY",36 h 20 m,"1,48,518",18/10/2023
"Iberia, Korean Air","IB 3020, KE 916",Madrid,16:30,Nanking/Nanjing,"11:50
+ 2 DAY",37 h 20 m,"1,48,518",18/10/2023
"Iberia, Korean Air","IB 3018, KE 916",Madrid,16:00,Nanking/Nanjing,"11:50
+ 2 DAY",37 h 50 m,"1,48,518",18/10/2023
"Iberia, China Southern, China Eastern","IB 3166, CZ 674",Madrid,15:45,Nanking/Nanjing,"20:20
+ 1 DAY",22 h 35 m,"2,17,865",18/10/2023
"Iberia, Asiana Airlines","IB 3442, OZ 502",Madrid,14:35,Nanking/Nanjing,"13:40
+ 2 DAY",41 h 05 m,"2,21,399",18/10/2023
"Iberia, Asiana Airlines","IB 3738, OZ 502",Madrid,08:45,Nanking/Nanjing,"13:40
+ 2 DAY",46 h 55 m,"2,21,399",18/10/2023
"KLM Royal Dutch, China Southern, China Eastern","KL 1704, CZ 346",Madrid,17:10,Nanking/Nanjing,"20:20
+ 1 DAY",21 h 10 m,"2,22,114",18/10/2023
"Iberia, Air China","IB 3234, CA 940",Madrid,17:05,Nanking/Nanjing,"19:30
+ 1 DAY",20 h 25 m,"3,55,683",18/10/2023
"Iberia, Air China","IB 3190, CA 962",Madrid,08:55,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 30 m,"3,55,696",18/10/2023
"Iberia, Air China","IB 8706, CA 966",Madrid,08:40,Nanking/Nanjing,"10:25
+ 1 DAY",19 h 45 m,"3,56,284",18/10/2023
"ITA Airways, Hainan Airlines","AZ 61, HU 7992",Madrid,11:45,Nanking/Nanjing,"10:30
+ 2 DAY",40 h 45 m,"50,533",19/10/2023
"ITA Airways, Hainan Airlines","AZ 59, HU 438",Madrid,05:50,Nanking/Nanjing,"11:50
+ 1 DAY",24 h,"55,175",19/10/2023
"ITA Airways, Hainan Airlines","AZ 63, HU 7992",Madrid,18:05,Nanking/Nanjing,"10:30
+ 2 DAY",34 h 25 m,"59,971",19/10/2023
Hainan Airlines,"HU 728, HU 7425",Madrid,12:10,Nanking/Nanjing,"10:30
+ 1 DAY",16 h 20 m,"62,446",19/10/2023
Air China,"CA 908, CA 1817",Madrid,13:10,Nanking/Nanjing,"10:25
+ 1 DAY",15 h 15 m,"64,737",19/10/2023
Air China,"CA 908, CA 1847",Madrid,13:10,Nanking/Nanjing,"12:55
+ 1 DAY",17 h 45 m,"64,737",19/10/2023
"Qatar Airways, Air China","QR 148, QR 892",Madrid,09:05,Nanking/Nanjing,"22:05
+ 1 DAY",31 h,"67,277",19/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"10:25
+ 1 DAY",21 h 10 m,"67,766",19/10/2023
"Lufthansa, Air China","LH 1807, CA 962",Madrid,07:15,Nanking/Nanjing,"12:55
+ 1 DAY",23 h 40 m,"67,766",19/10/2023
"Lufthansa, Air China","LH 1123, LH 720",Madrid,08:30,Nanking/Nanjing,"12:55
+ 1 DAY",22 h 25 m,"69,971",19/10/2023
"ITA Airways, China Southern","AZ 59, CZ 662",Madrid,05:50,Nanking/Nanjing,"11:30
+ 1 DAY",23 h 40 m,"70,260",19/10/2023
"Qatar Airways, Air China","QR 150, QR 892",Madrid,16:05,Nanking/Nanjing,"22:05
+ 1 DAY",24 h,"76,383",19/10/2023
"Lufthansa, Cathay Pacific","LH 1123, CX 288",Madrid,08:30,Nanking/Nanjing,"13:00
+ 1 DAY",22 h 30 m,"1,04,658",19/10/2023
"Lufthansa, Air China","LH 1113, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"1,05,205",19/10/2023
"Lufthansa, Cathay Pacific","LH 1115, CX 288",Madrid,17:10,Nanking/Nanjing,"13:00
+ 2 DAY",37 h 50 m,"1,13,237",19/10/2023
"Iberia, Asiana Airlines","IB 3180, OZ 522",Madrid,16:50,Nanking/Nanjing,"13:40
+ 2 DAY",38 h 50 m,"1,26,719",19/10/2023
"Swiss, Cathay Pacific","LX 2033, CX 382",Madrid,19:45,Nanking/Nanjing,"13:00
+ 2 DAY",35 h 15 m,"1,30,228",19/10/2023
"Air France, Xiamen Airlines, Hebei Airlines Co.Ltd","AF 1601, MF 826",Madrid,16:40,Nanking/Nanjing,"20:35
+ 1 DAY",21 h 55 m,"1,33,555",19/10/2023
"Iberia, Cathay Pacific","IB 8706, CX 288",Madrid,08:40,Nanking/Nanjing,"13:00
+ 1 DAY",22 h 20 m,"1,38,755",19/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"16:10
+ 1 DAY",21 h 10 m,"2,01,226",19/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"19:30
+ 1 DAY",24 h 30 m,"2,01,226",19/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"22:05
+ 1 DAY",27 h 05 m,"2,01,226",19/10/2023
Air China,"CA 6024, CA 932",Madrid,13:00,Nanking/Nanjing,"22:20
+ 1 DAY",27 h 20 m,"2,01,226",19/10/2023
"Iberia, China Southern, China Eastern","IB 3166, CZ 674",Madrid,15:45,Nanking/Nanjing,"20:20
+ 1 DAY",22 h 35 m,"2,17,865",19/10/2023
